caregiver_id,caregiver_n,caregiver_fe_rate,observed_fe_rate,hospital_expire_rate,survival_12mo_rate,n_patients_in_sample
CG0001,21,0.1721658347123596,0.125,0.375,0.625,8
CG0002,118,0.1415671501472304,0.029411764705882353,0.17647058823529413,0.6764705882352942,34
CG0003,18,0.15543830773765377,0.3333333333333333,0,1,3
CG0004,14,0.13936257023927176,0,0,1,3
CG0005,11,0.24095610306918733,0,0.375,0.375,8
CG0006,18,0.15081333960274557,0.2,0.2,0.6,5
CG0007,13,0.06910400257231046,0,0.16666666666666666,0.5,6
CG0008,37,0.0950467136844915,0.2631578947368421,0.05263157894736842,0.8947368421052632,19
CG0009,22,0.07923976115996732,0.2,0,1,10
CG0010,14,0.013128865503542376,0.14285714285714285,0.2857142857142857,0.5714285714285714,7
CG0011,41,0.052863425891768887,0.15384615384615385,0.15384615384615385,0.5384615384615384,13
CG0012,32,0.08975123242229345,0,0.25,0.75,8
CG0013,11,0.0879688970813255,0,0,1,1
CG0014,29,0.3491587175691979,0.2222222222222222,0.2222222222222222,0.7777777777777778,9
CG0015,12,0.4122715294717365,0.16666666666666666,0,1,6
CG0016,89,0.16483967908062439,0.10256410256410256,0.20512820512820512,0.717948717948718,39
CG0017,28,0.07995505690344079,0.1,0.1,0.9,10
CG0018,21,0.16552774843038356,0.1,0.3,0.5,10
CG0019,12,0.15248482349626166,0.14285714285714285,0,1,7
CG0020,24,0.14846026846958393,0.1,0.1,0.8,10
CG0021,42,0.11009115441556513,0.13333333333333333,0.06666666666666667,0.8666666666666667,15
CG0022,38,0.13382096367008708,0.15789473684210525,0.21052631578947367,0.7368421052631579,19
CG0023,21,0.08898359890285733,0.25,0.25,0.5,4
CG0024,18,0.13734741013450757,0.2,0,1,5
CG0025,26,0.17229897290619473,0.2,0.1,0.7,10
CG0026,51,0.03223675081336626,0.18181818181818182,0.36363636363636365,0.45454545454545453,11
CG0027,53,0.08418467385922734,0.15789473684210525,0.2631578947368421,0.631578947368421,19
CG0028,11,0.12976628573317642,0,0.2,0.4,5
CG0029,22,0.23459292971917903,0.4,0.4,0.6,5
CG0030,11,0.02880177966328955,0,0,1,4
CG0031,19,0.16072086286909165,0.2727272727272727,0.09090909090909091,0.9090909090909091,11
CG0032,27,0.048138012195679813,0.26666666666666666,0.26666666666666666,0.5333333333333333,15
CG0033,19,0.08692675738698184,0,0,0.6666666666666666,3
CG0034,13,0.03280670300486419,0,0.25,0.25,4
CG0035,14,0.3368549209996222,0.125,0.25,0.75,8
CG0036,15,0.14379770890854152,0.25,0,1,4
CG0037,11,0.19595177038452988,0,0,1,3
CG0038,35,0.04674336298576965,0,0.1111111111111111,0.8888888888888888,9
CG0039,18,0.206215244127373,0,0.25,0.75,4
CG0040,11,0.10056131616772235,0,0.25,0.5,4
CG0041,23,0.21454941480849132,0.1111111111111111,0.1111111111111111,0.7777777777777778,9
CG0042,106,0.00945183398579441,0.11627906976744186,0.06976744186046512,0.7674418604651163,43
CG0043,27,0.2019962770742758,0,0.5384615384615384,0.46153846153846156,13
CG0044,134,0.22328720517711542,0.17543859649122806,0.17543859649122806,0.6666666666666666,57
CG0045,11,0.43154536833342516,0,0,1,1
CG0046,11,0.02824316048601594,0.2,0,1,5
CG0047,57,0.08312521622237792,0.125,0.08333333333333333,0.9166666666666666,24
CG0048,32,0.12705108685418726,0.3,0.1,0.7,10
CG0049,27,0.1627992692693226,0.3,0.2,0.7,10
CG0050,37,0.13941562836080212,0.15384615384615385,0.15384615384615385,0.6153846153846154,13
CG0051,38,0.21450620378848645,0.11764705882352941,0.17647058823529413,0.7647058823529411,17
CG0052,51,0.09347045614782698,0,0.14285714285714285,0.7142857142857143,14
CG0053,11,0.21397785457320914,0,0.1111111111111111,0.6666666666666666,9
CG0054,11,0.120383518552378,0,0.3333333333333333,0.6666666666666666,6
CG0055,47,0.07622608473957025,0.17647058823529413,0,0.8823529411764706,17
CG0056,11,0.16894359691666944,0,0,0.6666666666666666,3
CG0057,11,0.04673645462821775,0,0.5,0.5,2
CG0058,15,0.0815924076185976,0.3333333333333333,0.4444444444444444,0.5555555555555556,9
CG0059,28,0.11521158571965567,0.2,0,0.9,10
CG0060,12,0.1438256636864118,0.25,0.25,0.75,4
CG0061,11,0.046795565703705175,0.5,0.5,0.5,2
CG0062,18,0.1534949610657653,0.14285714285714285,0.14285714285714285,0.7142857142857143,7
CG0063,11,0.022857507354834536,0,0,1,1
CG0064,13,0.038228719365165205,0.25,0,0.75,4
CG0065,20,0.1024858648972166,0.14285714285714285,0.2857142857142857,0.7142857142857143,7
CG0066,65,0.12902414285786137,0.13333333333333333,0.2,0.8,15
CG0067,11,0.06519421167855068,0.4,0,0.8,5
CG0068,13,0.07049084255476007,0,0,1,4
CG0069,29,0.11375839924405652,0.25,0.1875,0.75,16
CG0070,11,0.1057039484007667,0,0,0.75,4
CG0071,26,0.3609620659882287,0.3,0.1,0.9,10
CG0072,11,0.13497749014502433,0.5,0.25,0.5,4
CG0073,21,0.10379283251989053,0.14285714285714285,0,0.8571428571428571,7
CG0074,12,0.08180804119687328,0.25,0,0.75,4
CG0075,22,0.11871580803511321,0.16666666666666666,0,0.8333333333333334,6
CG0076,11,0.057896198276630055,0.3333333333333333,0,1,3
CG0077,27,0.2273244018878263,0.15384615384615385,0.07692307692307693,0.8461538461538461,13
CG0078,11,0.09675384203706526,0,0.2,0.6,5
CG0079,22,0.07671667781816079,0.1111111111111111,0,1,9
CG0080,39,0.11151048614942168,0.15,0.2,0.8,20
